Fit
Table 1,,,,,,,
,,,,,,,
CENTRALITY,,,0-10 pct,,,,
,PT [GEV] LOW,PT [GEV] HIGH,Best fit value,1-sigma error,Chi-squared per dof,,
,300,400,0.65,0.01,0.93,,
,400,500,0.71,0.015,0.63,,
,500,1000,0.78,0.01,0.43,,
,,,,,,,
CENTRALITY,,,10-30 pct,,,,
,PT [GEV] LOW,PT [GEV] HIGH,Best fit value,1-sigma error,Chi-squared per dof,,
,200,250,0.7,0.003,0.99,,
,250,300,0.72,0.014,0.88,,
,300,400,0.73,0.012,0.75,,
,400,500,0.69,0.024,2.71,,
,500,1000,0.82,0.027,1.9,,
,,,,,,,
CENTRALITY,,,30-50 pct,,,,
,PT [GEV] LOW,PT [GEV] HIGH,Best fit value,1-sigma error,Chi-squared per dof,,
,200,250,0.8,0.002,0.99,,
,250,300,0.82,0.02,2.69,,
,300,400,0.86,0.007,0.51,,
,,,,,,,
CENTRALITY,,,50-90 pct,,,,
,PT [GEV] LOW,PT [GEV] HIGH,Best fit value,1-sigma error,Chi-squared per dof,,
,200,250,0.85,0.018,2.07,,
,250,300,0.84,0.009,0.61,,
,300,400,0.85,0.007,0.75,,
