#: table_doi: 10.17182/hepdata.93881.v1/t10
#: name: Figure 7-3
#: description: The RAA for jets with |eta jet| < 2.0 as a function of jet PT for R = 0.4 and various centrality classes.
#: data_file: Table7-3.yaml
#: keyword cmenergies: 5020
#: keyword reactions: P P --> JET X | Pb Pb --> JET X
#: keyword observables: RAA
#: ABS(ETA),,,0.0-2.0
#: RE,,,PB PB --> JET X, P P --> JET X
#: SQRT(S)/NUCLEON [GeV],,,5020
#: CENTRALITY [pct],,,0-10
#: R,,,0.4
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RAA,stat +,stat -,sys +,sys -,TAA +,TAA -,lumi +,lumi -
225.0,200,250,-,0,0,0,0,0,0,0,0
275.0,250,300,-,0,0,0,0,0,0,0,0
350.0,300,400,-,0,0,0,0,0,0,0,0
450.0,400,500,0.704,0.037,-0.037,0.03,-0.03,0.071,-0.071,0.016,-0.016
750.0,500,1000,0.742,0.074,-0.074,0.032,-0.032,0.075,-0.075,0.017,-0.017

#: ABS(ETA),,,0.0-2.0
#: RE,,,PB PB --> JET X, P P --> JET X
#: SQRT(S)/NUCLEON [GeV],,,5020
#: CENTRALITY [pct],,,10-30
#: R,,,0.4
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RAA,stat +,stat -,sys +,sys -,TAA +,TAA -,lumi +,lumi -
225.0,200,250,-,0,0,0,0,0,0,0,0
275.0,250,300,-,0,0,0,0,0,0,0,0
350.0,300,400,0.707,0.014,-0.014,0.039,-0.039,0.036,-0.036,0.016,-0.016
450.0,400,500,0.696,0.037,-0.037,0.033,-0.033,0.036,-0.036,0.016,-0.016
750.0,500,1000,0.825,0.079,-0.079,0.037,-0.037,0.042,-0.042,0.019,-0.019

#: ABS(ETA),,,0.0-2.0
#: RE,,,PB PB --> JET X, P P --> JET X
#: SQRT(S)/NUCLEON [GeV],,,5020
#: CENTRALITY [pct],,,30-50
#: R,,,0.4
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RAA,stat +,stat -,sys +,sys -,TAA +,TAA -,lumi +,lumi -
225.0,200,250,-,0,0,0,0,0,0,0,0
275.0,250,300,0.776,0.017,-0.017,0.034,-0.034,0.02,-0.02,0.018,-0.018
350.0,300,400,0.844,0.026,-0.026,0.024,-0.024,0.021,-0.021,0.019,-0.019
450.0,400,500,-,0,0,0,0,0,0,0,0
750.0,500,1000,-,0,0,0,0,0,0,0,0

#: ABS(ETA),,,0.0-2.0
#: RE,,,PB PB --> JET X, P P --> JET X
#: SQRT(S)/NUCLEON [GeV],,,5020
#: CENTRALITY [pct],,,50-90
#: R,,,0.4
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RAA,stat +,stat -,sys +,sys -,TAA +,TAA -,lumi +,lumi -
225.0,200,250,0.802,0.016,-0.016,0.034,-0.034,0.015,-0.015,0.018,-0.018
275.0,250,300,0.812,0.031,-0.031,0.032,-0.032,0.015,-0.015,0.019,-0.019
350.0,300,400,0.825,0.047,-0.047,0.031,-0.031,0.015,-0.015,0.019,-0.019
450.0,400,500,-,0,0,0,0,0,0,0,0
750.0,500,1000,-,0,0,0,0,0,0,0,0

