#: table_doi: 10.17182/hepdata.93881.v1/t16
#: name: Figure 8-3
#: description: The RAA-ratio for jets with |eta jet| < 2.0 as a function of R for R = 0.3–1.0 with respect to R = 0.2, in various event centrality classes and jet PT = 300-400 GeV.
#: data_file: Table8-3.yaml
#: keyword cmenergies: 5020
#: keyword reactions: P P --> JET X | Pb Pb --> JET X
#: keyword observables: RAA(R) / RAA(R = 0.2)
#: ABS(ETA),0.0-2.0
#: RE,PB PB --> JET X, P P --> JET X
#: SQRT(S)/NUCLEON [GeV],5020
#: CENTRALITY [pct],0-10
#: PT [GEV],300-400
R,RAA(R) / RAA(R=0.2),stat +,stat -,sys +,sys -
0.3,1.019,0.013,-0.013,0.045,-0.045
0.4,-,0,0,0,0
0.6,-,0,0,0,0
0.8,-,0,0,0,0
1.0,-,0,0,0,0

#: ABS(ETA),0.0-2.0
#: RE,PB PB --> JET X, P P --> JET X
#: SQRT(S)/NUCLEON [GeV],5020
#: CENTRALITY [pct],10-30
#: PT [GEV],300-400
R,RAA(R) / RAA(R=0.2),stat +,stat -,sys +,sys -
0.3,1.024,0.013,-0.013,0.036,-0.036
0.4,0.971,0.014,-0.014,0.051,-0.051
0.6,1.042,0.019,-0.019,0.068,-0.068
0.8,-,0,0,0,0
1.0,-,0,0,0,0

#: ABS(ETA),0.0-2.0
#: RE,PB PB --> JET X, P P --> JET X
#: SQRT(S)/NUCLEON [GeV],5020
#: CENTRALITY [pct],30-50
#: PT [GEV],300-400
R,RAA(R) / RAA(R=0.2),stat +,stat -,sys +,sys -
0.3,0.997,0.019,-0.019,0.025,-0.025
0.4,0.955,0.021,-0.021,0.027,-0.027
0.6,0.967,0.026,-0.026,0.026,-0.026
0.8,0.988,0.029,-0.029,0.039,-0.039
1.0,0.962,0.03,-0.03,0.034,-0.034

#: ABS(ETA),0.0-2.0
#: RE,PB PB --> JET X, P P --> JET X
#: SQRT(S)/NUCLEON [GeV],5020
#: CENTRALITY [pct],50-90
#: PT [GEV],300-400
R,RAA(R) / RAA(R=0.2),stat +,stat -,sys +,sys -
0.3,0.984,0.034,-0.034,0.042,-0.042
0.4,0.971,0.041,-0.041,0.035,-0.035
0.6,1.017,0.051,-0.051,0.028,-0.028
0.8,0.999,0.054,-0.054,0.028,-0.028
1.0,1.022,0.058,-0.058,0.027,-0.027

